Table 84. Count of import rankings for mined minerals (2007).,,,,
,First,Second,Third,Total
Argentina,,1,,1
Australia,4,1,1,6
Belarus,,1,,1
Bolivia,2,,,2
Brazil,1,,2,3
Canada,3,9,,12
Chile,2,,1,3
China,4,1,1,6
France,,,1,1
Gabon,1,,,1
Germany,,,3,3
Greece,1,,,1
Guatemala,,2,,2
Guinea,,1,,1
India,,1,,1
Ireland,,,1,1
Israel,2,1,,3
Italy,,,1,1
Jamaica,1,1,,2
Japan,,1,1,2
Malaysia,,1,,1
Mexico,2,1,2,5
Mozambique,,,1,1
Peru,2,1,,3
Portugal,,,1,1
Sierra Leone,,,1,1
South Africa,4,1,,5
United Kingdom,,,1,1
Other,,1,2,3