"Table 32. Global production of mined lead, the three leading producing countries, and the concentration ratio of the top three producing countries (thousand metric tons).",,,,,,,,,
,,,,,,,,,
Year,World mine production,U.S. mine production,Concentration ratio,1st Mine production,1st Country,2nd Mine production,2nd Country,3rd Mine production,3rd Country
1990," 	3,370.00 ", 	497.00 , 	0.39 , 	570.00 ,Australia, 	420.00 ,USSR, 	315.00 ,China
1991," 	3,260.00 ", 	477.00 , 	0.40 , 	579.00 ,Australia, 	380.00 ,USSR, 	352.00 ,China
1992," 	3,200.00 ", 	407.00 , 	0.39 , 	577.00 ,Australia, 	344.00 ,Canada, 	330.00 ,Peru
1993," 	2,900.00 ", 	362.00 , 	0.37 , 	519.00 ,Australia, 	338.00 ,China, 	217.00 ,Peru
1994," 	2,800.00 ", 	370.00 , 	0.44 , 	537.00 ,Australia, 	462.00 ,China, 	233.50 ,Peru
1995," 	2,710.00 ", 	394.00 , 	0.45 , 	520.00 ,China, 	455.00 ,Australia, 	237.60 ,Peru
1996," 	2,920.00 ", 	436.00 , 	0.48 , 	643.00 ,China, 	522.00 ,Australia, 	248.80 ,Peru
1997," 	3,100.00 ", 	459.00 , 	0.48 , 	712.00 ,China, 	531.00 ,Australia, 	258.20 ,Peru
1998," 	3,060.00 ", 	493.00 , 	0.48 , 	618.00 ,Australia, 	580.00 ,China, 	257.71 ,Peru
1999," 	3,080.00 ", 	520.00 , 	0.49 , 	681.00 ,Australia, 	549.00 ,China, 	271.78 ,Peru
2000," 	3,200.00 ", 	465.00 , 	0.52 , 	739.00 ,Australia, 	660.00 ,China, 	270.58 ,Peru
2001," 	3,120.00 ", 	466.00 , 	0.54 , 	714.00 ,Australia, 	676.00 ,China, 	289.55 ,Peru
2002," 	2,850.00 ", 	451.00 , 	0.58 , 	694.00 ,Australia, 	641.00 ,China, 	305.65 ,Peru
2003," 	3,200.00 ", 	460.00 , 	0.61 , 	955.00 ,China, 	688.00 ,Australia, 	308.87 ,Peru
2004," 	3,150.00 ", 	445.00 , 	0.63 , 	998.00 ,China, 	674.00 ,Australia, 	306.21 ,Peru
2005," 	3,470.00 ", 	437.00 , 	0.64 ," 	1,140.00 ",China, 	767.00 ,Australia, 	319.35 ,Peru
2006," 	3,630.00 ", 	429.00 , 	0.64 ," 	1,330.00 ",China, 	686.00 ,Australia, 	313.33 ,Peru
2007," 	3,720.00 ", 	444.00 , 	0.64 ," 	1,410.00 ",China, 	641.00 ,Australia, 	329.15 ,Peru
2008," 	3,880.00 ", 	410.00 , 	0.64 ," 	1,500.00 ",China, 	645.00 ,Australia, 	345.11 ,Peru
2009," 	3,900.00 ", 	406.00 , 	0.63 ," 	1,600.00 ",China, 	566.00 ,Australia, 	302.46 ,Peru
2010," 	4,140.00 ", 	369.00 , 	0.66 ," 	1,850.00 ",China, 	625.00 ,Australia, 	261.90 ,Peru