Year,Worldrefinedsecondaryproduction,U.S.refinedsecondaryproduction,Concentrationratio,1stRefinedsecondaryproduction,1stCountry,2ndRefinedsecondaryproduction,2ndCountry,3rdRefinedsecondaryproduction,3rdCountry
1990,2860.00,922.00,0.26,280.00,USSR,270.00,France,187.00,W.Germany
1991,2690.00,885.00,0.26,250.00,France,250.00,USSR,202.00,Germany
1992,2480.00,916.00,0.26,284.00,France,202.00,Germany,147.00,UK
1993,2400.00,893.00,0.25,284.00,France,179.00,Germany,148.00,UK
1994,2340.00,931.00,0.34,280.00,France,260.00,Germany,254.00,UK
1995,2670.00,1020.00,0.19,171.00,UK,168.00,France,164.40,Germany
1996,2760.00,1070.00,0.18,177.50,UK,162.00,France,149.40,Germany
1997,2840.00,1110.00,0.18,175.80,UK,170.80,France,164.40,Germany
1998,2870.00,1120.00,0.19,203.40,Germany,172.00,France,162.65,UK
1999,2850.00,1110.00,0.19,204.00,Germany,167.92,Japan,162.65,UK
2000,3060.00,1130.00,0.18,204.00,Germany,182.21,Japan,170.74,UK
2001,3200.00,1100.00,0.19,219.64,Germany,211.00,China,175.09,Japan
2002,3370.00,1100.00,0.19,238.70,Germany,230.00,China,178.02,Japan
2003,3600.00,1140.00,0.20,290.00,China,224.70,Germany,189.83,Japan
2004,3740.00,1130.00,0.23,430.00,China,243.30,Germany,188.60,Japan
2005,3950.00,1150.00,0.25,537.00,China,298.92,Germany,167.98,Japan
2006,4200.00,1160.00,0.24,590.00,China,265.19,Germany,171.74,Japan
2007,4420.00,1180.00,0.25,650.00,China,294.15,Germany,171.80,Japan
2008,4600.00,1140.00,0.29,850.00,China,301.90,Germany,172.45,Japan
2009,4860.00,1110.00,0.34,1230.00,China,285.70,Germany,150.87,Japan
2010,5090.00,1140.00,0.35,1360.00,China,280.00,Germany,160.00,Japan