Value,2005,2006,2007,2008,2009
Aluminum(000mt)Consumption,6530,5700,5170,3940,3320
Aluminum(000mt)Production,--,--,--,--,--
Aluminum(000mt)Primary,2481,2284,2554,2658,1727
Aluminum(000mt)Secondary,3030,4380,4120,3630,2820
Aluminum(000mt)Exports,2370,2820,2840,3280,2710
Aluminum(000mt)Imports,5330,5180,4490,4200,4110
Aluminum(000mt)1st,Canada,Canada,Canada,Canada,Canada
Aluminum(000mt)2nd,Russia,Russia,Russia,Russia,Russia
Aluminum(000mt)3rd,China,China,China,China,China
Antimony(mt)Consumption,9140,10500,9690,8140,6770
Antimony(mt)Production,3620,3520,3480,3180,3020
Antimony(mt)Exports,740,459,305,366,385
Antimony(mt)Imports,6370,7260,5920,7050,4750
Antimony(mt)1st,China,China,China,China,China
Antimony(mt)2nd,Mexico,Peru,Mexico,Mexico,Mexico
Antimony(mt)3rd,Belgium,Mexico,Belgium,Peru,Peru
Bismuth(mt)Consumption,2390,1960,2630,1090,820
Bismuth(mt)Production,--,--,--,--,--
Bismuth(mt)Exports,142,311,421,375,397
Bismuth(mt)Imports,2530,2300,3070,1930,1250
Bismuth(mt)1st,Belgium,Belgium,UnitedKingdom,China,China
Bismuth(mt)2nd,China,Mexico,Belgium,Belgium,Belgium
Bismuth(mt)3rd,Mexico,UnitedKingdom,China,UnitedKingdom,SouthKorea
Boron(000mt)Consumption,W,W,W,W,W
Boron(000mt)Production,W,W,W,W,W
Boron(000mt)Exports,183,221,248,303,171
Boron(000mt)Imports,52,85,67,50,36
Boron(000mt)1st,Turkey,Turkey,Turkey,Turkey,Turkey
Boron(000mt)2nd,Chile,Chile,Chile,Chile,Chile
Boron(000mt)3rd,Peru,Bolivia,Bolivia,Bolivia,Russia
Cadmium(mt)Consumption,2060,530,594,528,199
Cadmium(mt)Production,1470,723,735,777,633
Cadmium(mt)Exports,686,483,424,421,661
Cadmium(mt)Imports,288,180,316,197,122
Cadmium(mt)1st,Mexico,Australia,Mexico,Canada,Australia
Cadmium(mt)2nd,Australia,Canada,Australia,Australia,Peru
Cadmium(mt)3rd,Canada,India,Canada,Mexico,Canada
Chromium(mt)FerrochromiumConsumption,548000,589000,493000,432000,160000
Chromium(mt)FerrochromiumProduction,W,W,W,W,W
Chromium(mt)FerrochromiumExports,,,,998000,411000
Chromium(mt)FerrochromiumImports,264000,249000,242000,297000,137000
Chromium(mt)1st,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
Chromium(mt)2nd,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
Chromium(mt)3rd,Russia,Russia,Russia,Russia,Russia
StainlessSteelConsumption,1480000,1500000,1430000,1330000,1260000
StainlessSteelProduction,373000,419000,360000,324000,276000
StainlessSteelExports,371000,410000,476000,471000,414000
StainlessSteelImports,770000,872000,809000,783000,416000
Cobalt(mt),2005,2006,2007,2008,2009
Cobalt(mt)Consumption,--,--,--,--,--
Cobalt(mt)Reported,9150,9280,9320,8810,7460
Cobalt(mt)Apparent,11800,11000,9630,10100,7520
Cobalt(mt)Exports,2440,2850,3100,2850,2440
Cobalt(mt)Imports,9350,9950,8960,8430,7680
Cobalt(mt)1st,Norway,Russia,Norway,Norway,Norway
Cobalt(mt)2nd,Russia,Norway,Russia,China,Russia
Cobalt(mt)3rd,Canada,China,Canada,Russia,Canada
Copper(mt)ConsumptionReported,2270000,2110000,2140000,2020000,1650000
Copper(mt)ConsumptionApparent,2420000,2200000,2270000,1990000,1580000
Copper(mt)Production,2762175,2740076,2875320,2718655,2554082
Copper(mt)Smelter,523575,501576,617720,574655,597682
Copper(mt)Refinery,1260000,1250000,1310000,1270000,1160000
Copper(mt)Secondary,953000,969000,925000,852000,774000
Copper(mt)Copper-Sulfate,25600,19500,22600,22000,22400
Copper(mt)Exports,39500,106000,51100,36500,80800
Copper(mt)Imports,1000000,1070000,829000,724000,664000
Copper(mt)1st,Chile,Chile,Chile,Chile,Chile
Copper(mt)2nd,Canada,Canada,Canada,Canada,Canada
Copper(mt3rd,Peru,Peru,Peru,Peru,Peru
Gallium(kg)Consumption,18700,20300,25100,28700,24900
Gallium(kg)Production,--,--,--,--,--
Gallium(kg)Exports,--,--,--,--,--
Gallium(kg)Imports,15800,26900,37100,41100,35900
Gallium(kg)1st,Japan,China,Germany,Germany,Canada
Gallium(kg)2nd,Russia,Ukraine,Canada,Canada,Germany
Gallium(kg)3rd,Hungary,Germany,Ukraine,China,UnitedKingdom
Germanium(kg),2005,2006,2007,2008,2009
Germanium(kg)Consumption,27800,55000,52400,54500,38800
Germanium(kg)Production,--,--,--,--,--
Germanium(kg)Exports,--,--,--,--,--
Germanium(kg)Imports,16700,24100,25400,40200,29400
Germanium(kg)1st,Belgium,Belgium,Belgium,Belgium,China
Germanium(kg)2nd,China,Germany,Germany,China,Russia
Germanium(kg)3rd,Germany,China,Russia,Russia,Belgium
GoldConsumption,196800,205270,197050,217490,200520
GoldProduction,256000,252000,238000,233000,223000
GoldExports,182000,228000,392000,459000,281000
GoldImports,105000,136000,113000,118000,127000
Gold1st,Canada,Canada,Canada,Canada,Canada
Gold2nd,Mexico,Mexico,Mexico,Mexico,Mexico
Gold3rd,Brazil,Brazil,Chile,UnitedKingdom,Colombia
Indium(mt)Consumption,--,--,--,--,--
Indium(mt)Production,--,--,--,--,--
Indium(mt)Exports,--,--,--,--,--
Indium(mt)Imports,142,100,147,144,105
Indium(mt)1st,China,China,China,China,Canada
Indium(mt)2nd,Japan,Canada,Canada,Canada,China
Indium(mt)3rd,Canada,Japan,Japan,Japan,Japan
Iron&Steel(000mt)Consumption,109,120,116,102,63
Iron&Steel(000mt)ProductionIron,37420,38140,36550,33960,19000
Iron&Steel(000mt)ProductionPigiron,37200,37900,36300,33700,19000
Iron&Steel(000mt)ProductionDirectreducediron,220,240,250,260,-
Iron&Steel(000mt)Rawsteel,94900,98200,98100,91800,59400
Iron&Steel(000mt)ExportsIron,51,813,71,51,11
Iron&Steel(000mt)ExportsPigiron,51,813,71,51,11
Iron&Steel(000mt)ExportsDirectreducediron,<500mt,<500mt,<500mt,<500mt,<500mt
Iron&Steel(000mt)Steelmillproducts,8520,8830,10100,12200,8420
Iron&Steel(000mt)Imports,16700,24100,25400,40200,29400
Iron&Steel(000mt)Iron,8200,9340,7550,7320,3440
Iron&Steel(000mt)Pigiron,6030,6730,5220,4980,2420
Iron&Steel(000mt)Directreducediron,2170,2610,2330,2340,1020
Iron&Steel(000mt)Steelmillproducts,29100,41100,30200,29000,14700
Iron&Steel(000mt1st,Canada,Canada,Canada,Canada,Canada
Iron&Steel(000mt)2nd,Mexico,China,China,China,Mexico
Iron&Steel(000mt)3rd,Brazil,Mexico/Russia,Mexico,Mexico,China
Lead(mt)Consumption,1490000,1490000,1570000,1440000,1290000
Lead(mt)Production,1293000,1313000,1303000,1275000,1213000
Lead(mt)Primary,143000,153000,123000,135000,103000
Lead(mt)Secondary,1150000,1160000,1180000,1140000,1110000
Lead(mt)Exports,454600,366500,356500,351800,369000
Imports,,,,,
Lead(mt)BaseBullion,--,539,1990,2740,844
Lead(mt)1st,NA,Canada,Colombia,Mexico,Mexico
Lead(mt)2nd,NA,Colombia,Venezuela,Colombia,Other
Lead(mt)3rd,NA,NA,Netherlands,Venezuela,NA
Lead(mt)Pig&Bars(Leadcontent),298000,331000,263000,309000,251000
Lead(mt)1st,Canada,Canada,Canada,Canada,Canada
Lead(mt)2nd,Australia,China,Mexico,Mexico,Mexico
Lead(mt)3rd,Peru,Peru,Peru,Peru,Kazakhstan
MagnesiumCompounds(000mt)Consumption,--,--,--,--,--
MagnesiumCompounds(000mt)ProductionCaustic-calcinedandspecifiedmagnesias,137,133,125,170,147
MagnesiumCompounds(000mt)ProductionRefractorymagnesia,W,W,W,W,W
MagnesiumCompounds(000mt)ExportsCaustic-calcinedandspecifiedmagnesias,5,6,4,1,1
MagnesiumCompounds(000mt)ExportsRefractorymagnesia,25,20,22,22,8
MagnesiumCompounds(000mt)ImportsCaustic-calcinedandspecifiedmagnesias,152,163,134,167,126
MagnesiumCompounds(000mt)1st,China,China,China,China,China
MagnesiumCompounds(000mt)2nd,Canada,Canada,Canada,Canada,Canada
MagnesiumCompounds(000mt)3rd,Brazil,HongKong,Turkey,Brazil,Brazil
Refractorymagnesia,478,433,437,386,151
Refractorymagnesia1st,China,China,China,China,China
Refractorymagnesia2nd,Brazil,Austria,Austria,Austria,Brazil
Refractorymagnesia3rd,HongKong,Austrialia,Australia,Greece,Austria
Magnesium(mt)Consumption,82100,77600,72200,64500,50900
Magnesium(mt)Production,73300,94900,89300,88400,68600
Magnesium(mt)Exports,9650,12300,14800,14400,19600
Magnesium(mt)Imports,84700,75300,71800,83300,47300
Magnesium(mt)1st,Canada,Canada,Canada,Israel,Israel
Magnesium(mt)2nd,Israel,Russia,Israel,China,Canada
Magnesium(mt)3rd,Russia,Israel,Russia,Canada,China
ManganeseCompounds(mt)Consumption,773,1060,979,844,445
ManganeseCompounds(mt)Production,W,W,W,W,W
ManganeseCompounds(mt)Exports,2670,3900,3280,4580,3470
ManganeseCompounds(mt)Imports,32390,32900,37998,31692,23000
ManganeseCompounds(mt)1st,China,China,China,China,China
ManganeseCompounds(mt)2nd,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
ManganeseCompounds(mt)3rd,Spain,Canada,Germany,Germany,Canada
Molybdenum(mt)Consumption,18900,19000,21000,21100,18100
Molybdenum(mt)Production,78500,78000,72800,72900,59900
Molybdenum(mt)Exports,2090,2010,1220,1290,827
Molybdenum(mt)Imports,4050,3060,4100,2320,2030
Molybdenum(mt)1st,China,China,China,Chile,Chile
Molybdenum(mt)2nd,Canada,Chile,Chile,China,Canada
Molybdenum(mt3rd,Chile,Canada,Canada,Canada,UnitedKingdom
Nickel(mt)Consumption,199000,205000,200000,187000,163000
Nickel(mt)Production,237520,245360,284920,245240,231720
Nickel(mt)Exports,63230,67350,116100,106200,97030
Nickel(mt)Imports,159000,173000,141000,149000,118000
Nickel(mt)1st,Canada,Canada,Canada,Canada,Canada
Nickel(mt)2nd,Russia,Russia,Russia,Russia,Russia
Nickel(mt)3rd,Norway,Australia,Australia,Australia,Norway
Niobium(mt)Consumption,7430,10100,9020,8450,4210
Niobium(mt)Production,--,--,--,--,--
Niobium(mt)Exports,337,561,1100,781,195
Niobium(mt)Imports,8360,12840,12900,11000,4490
Niobium(mt)1st,Brazil,Brazil,Brazil,Brazil,Brazil
Niobium(mt)2nd,Canada,Canada,Canada,Canada,Canada
Niobium(mt)3rd,Germany,Germany,Germany,Germany,Germany
PlatinumGroupMetals(kg)ConsumptionPalladium,126000,80500,84100,106000,52100
PlatinumGroupMetals(kg)ConsumptionPlatinum,89600,72700,156000,138000,171000
PlatinumGroupMetals(kg)Production,,,,,
PlatinumGroupMetals(kg)ProductionPalladium,5220,5660,7410,7650,7820
PlatinumGroupMetals(kg)ProductionPlatinum,6360,6870,8930,7400,7210
PlatinumGroupMetals(kg)ExportsIridiumosmiumandruthenium,1070,3390,8190,6450,4020
PlatinumGroupMetals(kg)ExportsPalladium,27000,53100,41800,26400,30300
PlatinumGroupMetals(kg)ExportsPlatinum,20700,45500,28900,15600,15600
PlatinumGroupMetals(kg)ExportsRhodium,615,1600,2210,1980,1220
PlatinumGroupMetals(kg)ImportsIridium,3010,2800,3410,2550,1520
PlatinumGroupMetals(kg)1st,UnitedKingdom,UnitedKingdom,UnitedKingdom,SouthAfrica,SouthAfrica
PlatinumGroupMetals(kg)2nd,SouthAfrica,SouthAfrica,SouthAfrica,UnitedKingdom,UnitedKingdom
PlatinumGroupMetals(kg)3rd,Germany,Germany,Germany,Germany,Germany
OsmiumImports,39,56,23,11,68
Osmium1st,Russia,SouthAfrica,Germany,China,SouthAfrica
Osmium2nd,SouthAfrica,China,China,Germany,China
Osmium3rd,Germany/China,Germany,SouthAfrica,NA,NA
PalladiumImports,139000,119000,113000,120000,69700
Palladium1st,Russia,Russia,Russia,Russia,Russia
Palladium2nd,SouthAfrica,UnitedKingdom,SouthAfrica,SouthAfrica,SouthAfrica
Palladium3rd,UnitedKingdom,SouthAfrica,UnitedKingdom,UnitedKingdom,UnitedKingdom
PlatinumImports,106000,114000,181000,150000,183000
Platinum1st,SouthAfrica,SouthAfrica,Germany,SouthAfrica,Japan
Platinum2nd,UnitedKingdom,Germany,SouthAfrica,Brazil,Germany
Platinum3rd,Canada,UnitedKingdom,SouthKorea,Chile,SouthAfrica
RhodiumImports,13600,15900,16600,12600,11200
Rhodium1st,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
Rhodium2nd,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,Russia
Rhodium3rd,Russia,Belgium,Belgium,Russia,Belgium
RutheniumImports,23200,36000,48700,49800,21200
Ruthenium1st,SouthAfrica,SouthAfrica,SouthAfrica,Germany,SouthAfrica
Ruthenium2nd,Germany,Germany,Germany,SouthAfrica,Germany
Ruthenium3rd,UnitedKingdom,Russia,UnitedKingdom,Russia,UnitedKingdom
REE(kg)Consumption,582,742,676,616,448
REE(kg)Production,--,--,--,--,--
REE(kg)Exports,636,611,1470,1390,4930
REE(kg)Imports,733000,723000,653000,566000,188000
REE(kg)1st,China,China,China,China,China
REE(kg)2nd,Japan,Japan,Japan,Japan,Japan
REE(kg)3rd,Austria,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom
Rhenium(kg)Consumption,30200,40200,38800,40600,30500
Rhenium(kg)Production,7900,8100,7100,7900,5600
Rhenium(kg)Exports,--,--,--,--,--
Rhenium(kg)Imports,21800,22000,30500,35900,21500
Rhenium(kg)1st,Chile,Chile,Chile,Chile,Chile
Rhenium(kg)2nd,Germany,Germany,Netherlands,Netherlands,Germany
Rhenium(kg)3rd,UnitedKingdom,UnitedKingdom,Germany,Germany,Netherlands
Selinium(kg)Consumption,--,--,--,--,--
Selinium(kg)Production,W,W,W,W,W
Selinium(kg)Exports,254000,204000,592000,562000,618000
Selinium(kg)Imports,575000,398000,536000,508000,260000
Selinium(kg)1st,Belgium,Belgium,Belgium,Belgium,Germany
Selinium(kg)2nd,Canada,Japan,Germany,Germany,Canada
Selinium(kg)3rd,Philippines,Canada,Japan,Canada,Mexico
Silicon(000mt),2005,2006,2007,2008,2009
Silicon(000mt)Consumption,275,W,W,W,W
Silicon(000mt)Production,145,W,W,W,W
Silicon(000mt)Exports,23,27,28,35,38
Silicon(000mt)Imports,152,146,147,168,113
Silicon(000mt)1st,Brazil,Brazil,Brazil,Brazil,Brazil
Silicon(000mt)2nd,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
Silicon(000mt)3rd,Canada,Canada,Canada,Canada,Australia
SilverConsumption,--,--,--,--,--
SilverProduction(mt),2530,2210,791,779,796
SilverExports(kg),338000,1670000,781000,555000,356000
SilverImports(kg),3880000,4280000,4210000,3860000,2800000
Silver1st,Mexico,Mexico,Mexico,Mexico,Mexico
Silver2nd,Canada,Canada,Canada,Canada,Canada
Silver3rd,Peru,Peru,Peru,Peru,Peru
Strontium(mt)Consumption,--,8830,8400,10900,11800
Strontium(mt)Production,--,--,--,--,--
Strontium(mt)Exports,--,699,688,594,532
Strontium(mt)Imports,770,617,454,170,70.1
Strontium(mt)1st,Japan,Japan,Japan,Japan,Japan
Strontium(mt)2nd,China,China,China,China,China
Strontium(mt)3rd,SouthKorea,SouthKorea,SouthKorea,Brazil,Switzerland
Tantalum(mt)Consumption,852,498,644,629,473
Tantalum(mt)Production,--,--,--,--,--
Tantalum(mt)Exports,809,702,365,566,232
Tantalum(mt)Imports,1242,835,864.13,939,688.15
Tantalum(mt)1st,China,Germany,China,China,China
Tantalum(mt)2nd,Japan,Kazakhstan,Portugal,Germany,Kazakhstan
Tantalum(mt)3rd,Kazakhstan,Japan,Kazakhstan,Kazakhstan,Germany
Tellurium(kg)Consumption,--,--,--,--,--
Tellurium(kg)Production,W,W,W,W,W
Tellurium(kg)Exports,51000,3550,15100,50000,8130
Tellurium(kg)Imports,42200,31100,43700,102000,84000
Tellurium(kg)1st,Belgium,Belgium,China,China,China
Tellurium(kg)2nd,Canada,Canada,Philippines,Canada,Canada
Tellurium(kg)3rd,China,China,Canada,Belgium,Philippines
Tin(mt)Consumption,40570,37680,31190,29350,32650
Tin(mt)Production,11700,11600,12200,11700,11100
Tin(mt)Exports,4330,5490,6410,9800,3170
Tin(mt)Imports,37500,43300,34600,36300,33000
Tin(mt)1st,Peru,Peru,Peru,Peru,Peru
Tin(mt)2nd,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia
Tin(mt)3rd,Indonesia,Indonesia,China,China,Indonesia
Titanium(mt)Consumption,26100,28400,33700,W,W
Titanium(mt)Production,--,--,--,--,--
Titanium(mt)Exports,1910,1380,2000,2370,820
Titanium(mt)Imports,15800,24400,25900,23900,16600
Titanium(mt)1st,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
Titanium(mt)2nd,Japan,Japan,Japan,Japan,Japan
Titanium(mt)3rd,Russia,Ukraine,China,Ukraine,China
Tungsten(mt)Concentrates,--,--,--,--,--
Tungsten(mt)Consumption,W,W,W,W,W
Tungsten(mt)Production,--,--,W,W,W
Tungsten(mt)Exports,52,130,109,496,38
Tungsten(mt)Imports,2080,2290,3880,3990,3590
Tungsten(mt)1st,Portugal,Bolivia,Bolivia,Bolivia,Bolivia
Tungsten(mt)2nd,Bolivia,Portugal,Canada,Canada,Canada
Tungsten(mt)3rd,Canada,Rwanda,Portugal,Portugal,Portugal
APTConsumption,9530,11300,12000,9700,6860
APTProduction,W,W,W,W,W
APTExports,774,350,731,621,375
APTImports,1920,2900,2700,2511,2540
Importsources:,,,,,
APT1st,China,China,China,China,China
APT2nd,Germany,Germany,Germany,Germany,Germany
3rd,HongKong,Russia,,,Vietnam
Vanadium(mt)Consumption,3910,4030,4970,5170,4690
Vanadium(mt)Production,--,--,W,W,W
Vanadium(mt)Exports,500,515,206,452,672
Vanadium(mt)Imports,11900,2140,2220,2800,353
Vanadium(mt)1st,CzechRepublic,CzechRepublic,SouthKorea,SouthKorea,Canada
Vanadium(mt)2nd,Swaziland,Canada,CzechRepublic,Canada,SouthKorea
Vanadium(mt)3rd,Canada,SouthKorea,Canada,Austria,Austria
Zinc(mt)Consumption,466000,501000,436000,370000,306000
Zinc(mt)Production,351000,269000,278000,286000,203000
Zinc(mt)Exports,784,2530,8070,3250,2960
Zinc(mt)Imports,700000,895000,758000,725000,686000